"diamond-image-wrapper href","medium-up--hide","main-price","Shape","Carat","Color","Clarity","Cut","Polish","Symmetry","Fluor","L/W"
"https://www.withclarity.com/products/diamonds/1473069889","0.3 Carat Round Natural Diamond","$247","Round","0.3","L","VS2","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/6471070658","0.3 Carat Round Natural Diamond","$251","Round","0.3","J","VS2","Excellent","Very Good","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/6472076618","0.3 Carat Round Natural Diamond","$252","Round","0.3","L","VS2","Excellent","Very Good","Very Good","Medium","0.98"
"https://www.withclarity.com/products/diamonds/1479021530","0.3 Carat Round Natural Diamond","$252","Round","0.3","L","VS2","Excellent","Very Good","Very Good","Faint","0.99"
"https://www.withclarity.com/products/diamonds/1475073600","0.3 Carat Round Natural Diamond","$254","Round","0.3","K","SI1","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/2476070851","0.3 Carat Round Natural Diamond","$255","Round","0.3","L","VS2","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/2467506442","0.35 Carat Round Natural Diamond","$255","Round","0.35","L","VS1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/1475367696","0.31 Carat Round Natural Diamond","$259","Round","0.31","L","VS2","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/5473150671","0.27 Carat Round Natural Diamond","$261","Round","0.27","I","SI1","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/6462326843","0.3 Carat Round Natural Diamond","$262","Round","0.3","K","VS1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/6471147575","0.32 Carat Round Natural Diamond","$269","Round","0.32","L","VS1","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/1479343063","0.32 Carat Round Natural Diamond","$269","Round","0.32","L","VS2","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/6402098844","0.5 Carat Cushion Natural Diamond","$272","Cushion","0.5","L","SI1","Excellent","Excellent","Very Good","Faint","1.03"
"https://www.withclarity.com/products/diamonds/6475368456","0.3 Carat Round Natural Diamond","$275","Round","0.3","L","VVS1","Good","Very Good","Very Good","None","1.01"
"https://www.withclarity.com/products/diamonds/1475068503","0.3 Carat Round Natural Diamond","$275","Round","0.3","K","VS1","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/1479220695","0.3 Carat Round Natural Diamond","$277","Round","0.3","J","SI2","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/3465320720","0.3 Carat Round Natural Diamond","$277","Round","0.3","G","I1","Very Good","Excellent","Very Good","Faint","0.99"
"https://www.withclarity.com/products/diamonds/7471032813","0.33 Carat Round Natural Diamond","$278","Round","0.33","L","VS1","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/7478078644","0.3 Carat Round Natural Diamond","$279","Round","0.3","L","VS2","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/2467203025","0.3 Carat Round Natural Diamond","$279","Round","0.3","J","VS2","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/74518727270","0.32 Carat Round Natural Diamond","$281","Round","0.32","L","VVS1","Excellent","Excellent","Very Good","Faint","1.00"
"https://www.withclarity.com/products/diamonds/6472058723","0.3 Carat Round Natural Diamond","$281","Round","0.3","L","VVS2","Excellent","Excellent","Very Good","None","1.00"
"https://www.withclarity.com/products/diamonds/6471072250","0.3 Carat Round Natural Diamond","$282","Round","0.3","L","VVS2","Excellent","Excellent","Very Good","None","1.01"
"https://www.withclarity.com/products/diamonds/7466554842","0.35 Carat Round Natural Diamond","$282","Round","0.35","L","VVS2","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/1467332883","0.32 Carat Round Natural Diamond","$282","Round","0.32","K","VS1","Excellent","Excellent","Excellent","Faint","0.99"
"https://www.withclarity.com/products/diamonds/6445926261","0.4 Carat Oval Natural Diamond","$282","Oval","0.4","I","SI1","Excellent","Good","Good","Strong","1.32"
"https://www.withclarity.com/products/diamonds/23963321600","0.3 Carat Round Natural Diamond","$283","Round","0.3","L","VVS2","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/3465908298","0.25 Carat Round Natural Diamond","$283","Round","0.25","J","VVS1","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/1473141259","0.3 Carat Round Natural Diamond","$283","Round","0.3","L","VS1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/1477097442","0.3 Carat Round Natural Diamond","$283","Round","0.3","K","VS1","Very Good","Excellent","Very Good","Faint","0.98"
"https://www.withclarity.com/products/diamonds/2477344048","0.31 Carat Round Natural Diamond","$285","Round","0.31","L","VS2","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/6472367470","0.33 Carat Round Natural Diamond","$285","Round","0.33","L","SI1","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/6462908169","0.3 Carat Round Natural Diamond","$285","Round","0.3","L","VVS2","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/6462316492","0.3 Carat Round Natural Diamond","$286","Round","0.3","H","SI2","Very Good","Good","Good","None","0.97"
"https://www.withclarity.com/products/diamonds/7462317812","0.3 Carat Round Natural Diamond","$287","Round","0.3","I","SI2","Good","Very Good","Very Good","None","0.99"
"https://www.withclarity.com/products/diamonds/7478342702","0.32 Carat Round Natural Diamond","$287","Round","0.32","K","SI1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/24589234900","0.3 Carat Round Natural Diamond","$287","Round","0.3","L","VVS1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/1458425052","0.28 Carat Round Natural Diamond","$287","Round","0.28","K","VVS2","Excellent","Excellent","Excellent","None","0.99"
"https://www.withclarity.com/products/diamonds/7418057952","0.42 Carat Round Natural Diamond","$289","Round","0.42","G","I1","Excellent","Excellent","Excellent","None","0.99"
"https://www.withclarity.com/products/diamonds/7471269754","0.33 Carat Round Natural Diamond","$290","Round","0.33","L","VS1","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/54568364940","0.3 Carat Round Natural Diamond","$291","Round","0.3","L","VVS1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/6471342867","0.3 Carat Round Natural Diamond","$293","Round","0.3","K","VS2","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/6475371899","0.3 Carat Round Natural Diamond","$293","Round","0.3","L","VVS2","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/6472070454","0.3 Carat Round Natural Diamond","$294","Round","0.3","G","I1","Excellent","Excellent","Excellent","None","1.00"
"https://www.withclarity.com/products/diamonds/7466802012","0.32 Carat Round Natural Diamond","$294","Round","0.32","L","VVS2","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/2477101555","0.29 Carat Round Natural Diamond","$294","Round","0.29","J","VS2","Excellent","Excellent","Excellent","Medium","1.00"
"https://www.withclarity.com/products/diamonds/2478042954","0.3 Carat Round Natural Diamond","$294","Round","0.3","K","VVS2","Excellent","Excellent","Excellent","None","0.99"
"https://www.withclarity.com/products/diamonds/7462591507","0.25 Carat Round Natural Diamond","$295","Round","0.25","J","IF","Excellent","Excellent","Excellent","Medium","0.99"
"https://www.withclarity.com/products/diamonds/6472154602","0.3 Carat Princess Natural Diamond","$295","Princess","0.3","E","SI2","Excellent","Excellent","Good","Faint","1.01"
"https://www.withclarity.com/products/diamonds/3475306908","0.3 Carat Round Natural Diamond","$295","Round","0.3","L","VVS1","Excellent","Excellent","Excellent","Strong","1.00"
"https://www.withclarity.com/products/diamonds/6465268688","0.3 Carat Round Natural Diamond","$295","Round","0.3","K","VS1","Excellent","Excellent","Excellent","Faint","1.00"
"https://www.withclarity.com/products/diamonds/3475019675","0.25 Carat Round Natural Diamond","$296","Round","0.25","I","VVS1","Excellent","Very Good","Excellent","Strong","0.99"
